location_code,station_code,name,city,lat,lng,service_type,type
488,RTN,RNO - OV-fiets - Rotterdam Noord Pop up,Rotterdam,51.94156,4.481287,,OV_FIETS
60,RTN,RNO - OV-fiets - Rotterdam Noord Pop up,Rotterdam,51.94156,4.481287,,OV_FIETS
ac002,AC,AC - OV-fiets - Abcoude,,52.278386,4.97704,,OV_FIETS
ah001,AH,AH - OV-fiets - Arnhem Centrum,Arnhem,51.984,5.9013,Bemenst,OV_FIETS
ah003,AH,AH - OV-ebike - Arnhem Centrum,Arnhem,51.9834,5.90139,Bemenst,OV_FIETS
alm001,ALM,ALM - OV-fiets - Almere Centrum Landdrostdreef,Almere,52.37453,5.22016,Bemenst,OV_FIETS
amf001,AMF,AMF - OV-fiets - Amersfoort Centraal,Amersfoort,52.15293,5.37481,Bemenst,OV_FIETS
amf002,AMF,AMF - OV-fiets - Amersfoort Mondriaanplein,Amersfoort,52.15446,5.37339,Sleutelautomaat,OV_FIETS
amfs001,AMFS,AMFS - OV-fiets - Amersfoort Schothorst,Amersfoort,52.1746,5.40462,Kluizen,OV_FIETS
aml002,AML,AML - OV-fiets - Almelo,Almelo,52.35614,6.65732,Sleutelautomaat,OV_FIETS
amr001,AMR,AMR - OV-fiets - Alkmaar,Alkmaar,52.63753,4.73985,Bemenst,OV_FIETS
amrn002,AMRN,AMRN - OV-fiets - Alkmaar Noord,Alkmaar,52.64396,4.76371,Sleutelautomaat,OV_FIETS
ana001,ANA,ANA - OV-fiets - Anna Paulowna,Anna Paulowna,52.867532,4.81149,,OV_FIETS
apd001,APD,APD - OV-fiets - Apeldoorn,Apeldoorn,52.209578,5.9692,Bemenst,OV_FIETS
Apg001,APG,APG - OV-fiets - Appingedam,Appingedam,53.325703,6.86249,,OV_FIETS
apn001,APN,APN - OV-fiets - Alphen aan den Rijn,Alphen aan Den Rijn,52.12492,4.65789,Bemenst,OV_FIETS
Arn002,ARN,ARN - OV-fiets - Arnemuiden,Arnemuiden,51.501444,3.669552,,OV_FIETS
asa001,ASA,ASA - OV-fiets - Amsterdam Amstel,Amsterdam,52.34701,4.91875,Bemenst,OV_FIETS
asb002,ASB,ASB - OV-fiets - Amsterdam Bijlmer Arena,Amsterdam,52.311914,4.948114,,OV_FIETS
asd002,ASD,ASD - OV-fiets - Amsterdam Centraal Oost,Amsterdam,52.37785,4.902062,Bemenst,OV_FIETS
asd008,ASD,ASD - OV-fiets - Amsterdam Centraal  IJzijde West,Amsterdam,52.380095,4.898784,Bemenst,OV_FIETS
asd009,BSLC,ASD - OV-fiets - Amsterdam Noord,Amsterdam,52.402374,4.931019,,OV_FIETS
asd010,ASD,ASD - OV-fiets - Amsterdam Centraal Stationsplein,,52.378482,4.897678,Bemenst,OV_FIETS
